ticker,data,ano_mes_carteira,book-to-market-value,indicator_rank,tercile
SMTO3,2021,2022,0.3575972862366288,113.0,2
TOKY3,2021,2022,0.3573764211872504,114.0,2
NGRD3,2021,2022,0.3459661464173004,115.0,2
DXCO3,2021,2022,0.3456365161060045,116.0,2
GMAT3,2021,2022,0.3421764106053779,117.0,2
NATU3,2021,2022,0.3370832572635207,118.0,2
PRIO3,2021,2022,0.3314630807093937,119.0,2
YDUQ3,2021,2022,0.3290123996528702,120.0,2
LCAM3,2021,2022,0.3286363459491928,121.0,2
BOAS3,2021,2022,0.3248728843683411,122.0,2
AESB3,2021,2022,0.3239444580452883,123.0,2
TIET4,2021,2022,0.3239444580452883,124.0,2
PNVL3,2021,2022,0.3214229734885351,125.0,2
MBRF3,2021,2022,0.3195886590652305,126.0,2
PARD3,2021,2022,0.3068849394062261,127.0,2
DEXP3,2021,2022,0.3045890958541765,128.0,2
HBSA3,2021,2022,0.3036099907325699,129.0,2
BRAV3,2021,2022,0.3030126380492741,130.0,2
CMIN3,2021,2022,0.3024644655899089,131.0,2
MOTV3,2021,2022,0.3020790331573478,132.0,2
ELMD3,2021,2022,0.2997404355139584,133.0,3
HGTX3,2021,2022,0.2983871059161616,134.0,3
ABEV3,2021,2022,0.2936708805692198,135.0,3
ETER3,2021,2022,0.2902357750934035,136.0,3
AURA33,2021,2022,0.2899089433241551,137.0,3
MOSI3,2021,2022,0.2853289002031053,138.0,3
STBP3,2021,2022,0.281633913495349,139.0,3
CXSE3,2021,2022,0.266178143330783,140.0,3
LPSB3,2021,2022,0.2642150921901555,141.0,3
SQIA3,2021,2022,0.255663811710755,142.0,3
EGIE3,2021,2022,0.2556591119581201,143.0,3
BHIA3,2021,2022,0.2500646113262758,144.0,3
CSED3,2021,2022,0.2462602859314291,145.0,3
SMLS3,2021,2022,0.2443864668957288,146.0,3
ECOR3,2021,2022,0.2383426052642547,147.0,3
LREN3,2021,2022,0.23582141794311,148.0,3
SIMH3,2021,2022,0.2355625102308855,149.0,3
NEXP3,2021,2022,0.2306482040628482,150.0,3
CSAN3,2021,2022,0.2306233677967191,151.0,3
ENJU3,2021,2022,0.2294563642402346,152.0,3
PLPL3,2021,2022,0.226496161679461,153.0,3
SOMA3,2021,2022,0.2259673400036269,154.0,3
B3SA3,2021,2022,0.2221612444499971,155.0,3
AMBP3,2021,2022,0.2206042078965041,156.0,3
FLRY3,2021,2022,0.2142469025382714,157.0,3
UNIP6,2021,2022,0.2091493463388364,158.0,3
QUAL3,2021,2022,0.2058432828421195,159.0,3
SBFG3,2021,2022,0.2050016758767514,160.0,3
LOGN3,2021,2022,0.2019015761582122,161.0,3
INTB3,2021,2022,0.193062356225647,162.0,3
LWSA3,2021,2022,0.1866823063097199,163.0,3
BRKM5,2021,2022,0.184851998915303,164.0,3
CURY3,2021,2022,0.1810936954016565,165.0,3
SUZB3,2021,2022,0.1795407795542172,166.0,3
ORVR3,2021,2022,0.1786243607139129,167.0,3
KLBN11,2021,2022,0.17818623398863,168.0,3
HAPV3,2021,2022,0.1777881450862481,169.0,3
GGPS3,2021,2022,0.174680227956443,170.0,3
BLAU3,2021,2022,0.1740763620496626,171.0,3
LAME4,2021,2022,0.1630459115623516,172.0,3
IFCM3,2021,2022,0.1617470372232903,173.0,3
VIVA3,2021,2022,0.1617031763042718,174.0,3
SAUD3,2021,2022,0.159339434874206,175.0,3
PTBL3,2021,2022,0.1564024879322513,176.0,3
SEQL3,2021,2022,0.1542082729579758,177.0,3
TASA4,2021,2022,0.1534014277776507,178.0,3
AZZA3,2021,2022,0.1528371418456907,179.0,3
ESPA3,2021,2022,0.1512129439304037,180.0,3
BBSE3,2021,2022,0.1495334299822573,181.0,3
WIZC3,2021,2022,0.1470207147875463,182.0,3
RENT3,2021,2022,0.1425715816241066,183.0,3
GNDI3,2021,2022,0.1378817285512188,184.0,3
AERI3,2021,2022,0.1324843482295196,185.0,3
TOTS3,2021,2022,0.1271616985433623,186.0,3
VAMO3,2021,2022,0.1199252547358961,187.0,3
LJQQ3,2021,2022,0.1194304884674676,188.0,3
ALPA4,2021,2022,0.1176750298723039,189.0,3
RDOR3,2021,2022,0.1166011830453666,190.0,3
RADL3,2021,2022,0.1144183961617087,191.0,3
TFCO4,2021,2022,0.0898903433122501,192.0,3
BEEF3,2021,2022,0.0857153426685193,193.0,3
WEGE3,2021,2022,0.0846544574891414,194.0,3
SHUL4,2021,2022,0.0832099750037464,195.0,3
ASAI3,2021,2022,0.0823798278652998,196.0,3
CASH3,2021,2022,0.0564158576563165,197.0,3
MGLU3,2021,2022,0.0532299911446729,198.0,3
CVCB3,2021,2022,0.0276691638845423,199.0,3
GFSA3,2022,2023,4.951237206390042,1.0,1
HBOR3,2022,2023,4.244954557101301,2.0,1
CEAB3,2022,2023,4.025189141756198,3.0,1
LIGT3,2022,2023,3.969592268067412,4.0,1
PCAR3,2022,2023,3.2427479676692417,5.0,1
COGN3,2022,2023,3.1440175952664493,6.0,1
TEND3,2022,2023,2.762635725303606,7.0,1
MDNE3,2022,2023,2.636634475559632,8.0,1
SYNE3,2022,2023,2.4660312757054355,9.0,1
TOKY3,2022,2023,2.3729726178726005,10.0,1
MEAL3,2022,2023,2.3034695111321737,11.0,1
USIM5,2022,2023,2.3009857973079826,12.0,1
MTRE3,2022,2023,2.249318467652768,13.0,1
EVEN3,2022,2023,2.1223872380665343,14.0,1
OPCT3,2022,2023,2.0496565899891315,15.0,1
TRIS3,2022,2023,1.9972034700571737,16.0,1
TECN3,2022,2023,1.972141758928643,17.0,1
ENJU3,2022,2023,1.9271072360146029,18.0,1
LOGG3,2022,2023,1.9209599339415735,19.0,1
BHIA3,2022,2023,1.8547357511466864,20.0,1
ANIM3,2022,2023,1.8247555568617275,21.0,1
AMAR3,2022,2023,1.814459943675003,22.0,1
BRML3,2022,2023,1.7701457586953662,23.0,1
SEER3,2022,2023,1.7388568052687892,24.0,1
BRIT3,2022,2023,1.7082757586475843,25.0,1
