ticker,data,ano_mes_carteira,beta,indicator_rank,tercile
LCAM3,202206,202206,0.8943268426586355,68.0,2
RENT3,202206,202206,0.9136632845787184,69.0,2
USIM5,202206,202206,0.9316465158621364,70.0,2
HYPE3,202206,202206,0.9357461462619076,71.0,2
EQTL3,202206,202206,0.9378987439793508,72.0,2
ZAMP3,202206,202206,0.945506333995314,73.0,2
AMER3,202206,202206,0.9481596602017996,74.0,2
MGLU3,202206,202206,0.958648899695048,75.0,2
MULT3,202206,202206,0.9786001560640942,76.0,2
BRML3,202206,202206,0.996627983244608,77.0,2
PORT3,202206,202206,0.9980272320444094,78.0,2
SQIA3,202206,202206,1.0057004114079868,79.0,2
QUAL3,202206,202206,1.0139153629725868,80.0,2
MOTV3,202206,202206,1.0154397211993549,81.0,2
IGTI3,202206,202206,1.0260495181649487,82.0,2
IRBR3,202206,202206,1.0323698594845454,83.0,2
CMIG4,202206,202206,1.0391122271577728,84.0,2
TEND3,202206,202206,1.0424380531308417,85.0,2
UGPA3,202206,202206,1.046020563256499,86.0,2
FRAS3,202206,202206,1.049611031379634,87.0,2
APER3,202206,202206,1.083276895280748,88.0,2
PFRM3,202206,202206,1.0842836018579045,89.0,2
WIZC3,202206,202206,1.086881497092904,90.0,2
SEER3,202206,202206,1.0913219788968476,91.0,2
PARD3,202206,202206,1.0942161745512444,92.0,2
DEXP3,202206,202206,1.094226874753084,93.0,2
SULA11,202206,202206,1.0948310975179745,94.0,2
HAPV3,202206,202206,1.1074481021640612,95.0,2
VIVA3,202206,202206,1.1129165338591296,96.0,2
PETR4,202206,202206,1.1344726379145074,97.0,2
PNVL3,202206,202206,1.1354946736478737,98.0,2
CEAB3,202206,202206,1.1513241487262658,99.0,2
SIMH3,202206,202206,1.1568595437647953,100.0,2
CSAN3,202206,202206,1.160542492335114,101.0,3
LREN3,202206,202206,1.1795536204638717,102.0,3
NATU3,202206,202206,1.181222353127079,103.0,3
ITSA4,202206,202206,1.186766794678238,104.0,3
BRAP4,202206,202206,1.1935950436423426,105.0,3
VALE3,202206,202206,1.1965080893782134,106.0,3
ALOS3,202206,202206,1.2109129876024167,107.0,3
LOGG3,202206,202206,1.2188981236869978,108.0,3
TECN3,202206,202206,1.230809631231706,109.0,3
LIGT3,202206,202206,1.2372434118631848,110.0,3
MTRE3,202206,202206,1.243527182212156,111.0,3
CSNA3,202206,202206,1.2549586026869215,112.0,3
MRVE3,202206,202206,1.2632417229296151,113.0,3
BRFS3,202206,202206,1.2685257589814356,114.0,3
UNIP6,202206,202206,1.2778324100821472,115.0,3
ECOR3,202206,202206,1.296372638148156,116.0,3
VLID3,202206,202206,1.3236199754438565,117.0,3
LPSB3,202206,202206,1.3520139504945017,118.0,3
B3SA3,202206,202206,1.377776221926913,119.0,3
DIRR3,202206,202206,1.3823859272738284,120.0,3
PRIO3,202206,202206,1.4025434510602046,121.0,3
GFSA3,202206,202206,1.4028315165866327,122.0,3
SBFG3,202206,202206,1.4307173234046575,123.0,3
EZTC3,202206,202206,1.4507513505142928,124.0,3
TGMA3,202206,202206,1.4981694355705162,125.0,3
MDNE3,202206,202206,1.5587151156966952,126.0,3
MILS3,202206,202206,1.5822328423422578,127.0,3
NEXP3,202206,202206,1.6225384515367036,128.0,3
BHIA3,202206,202206,1.6320769769120502,129.0,3
YDUQ3,202206,202206,1.644808745410019,130.0,3
TCSA3,202206,202206,1.6461190480782948,131.0,3
TRIS3,202206,202206,1.6520381747827535,132.0,3
COGN3,202206,202206,1.6649756209491555,133.0,3
STBP3,202206,202206,1.6654680470847707,134.0,3
AMAR3,202206,202206,1.6732171609145123,135.0,3
TASA4,202206,202206,1.7044544205545342,136.0,3
ANIM3,202206,202206,1.7204333040319773,137.0,3
JHSF3,202206,202206,1.7633030197285255,138.0,3
CYRE3,202206,202206,1.7972902645110005,139.0,3
RIAA3,202206,202206,1.8031968642800784,140.0,3
MEAL3,202206,202206,1.884082298708073,141.0,3
POSI3,202206,202206,1.895971511647349,142.0,3
EVEN3,202206,202206,2.0421168875971283,143.0,3
HBOR3,202206,202206,2.069520616361533,144.0,3
LUPA3,202206,202206,2.1438758436206307,145.0,3
TPIS3,202206,202206,2.22157770745284,146.0,3
OIBR3,202206,202206,2.228159168809784,147.0,3
SHOW3,202206,202206,2.3803245750475925,148.0,3
ETER3,202206,202206,2.400308888388784,149.0,3
CVCB3,202206,202206,2.5483957844172407,150.0,3
CAML3,202207,202207,0.0488288248590368,1.0,1
TUPY3,202207,202207,0.2225070592266826,2.0,1
BEEF3,202207,202207,0.2684012445952945,3.0,1
FLRY3,202207,202207,0.2735719179827603,4.0,1
MDIA3,202207,202207,0.2978222670108975,5.0,1
WEGE3,202207,202207,0.3086052831756249,6.0,1
MYPK3,202207,202207,0.3115961957680371,7.0,1
JBSS3,202207,202207,0.3409644428041897,8.0,1
VIVT3,202207,202207,0.3884135480523838,9.0,1
KLBN11,202207,202207,0.396042779153918,10.0,1
SRNA3,202207,202207,0.4118574708433696,11.0,1
ROMI3,202207,202207,0.4147747179075389,12.0,1
FESA4,202207,202207,0.4286605170508694,13.0,1
BRKM5,202207,202207,0.4334443358946873,14.0,1
MBRF3,202207,202207,0.447481708789779,15.0,1
LWSA3,202207,202207,0.4581469885233207,16.0,1
SLCE3,202207,202207,0.4653038490522674,17.0,1
SUZB3,202207,202207,0.4672480245768783,18.0,1
AALR3,202207,202207,0.4678808557094575,19.0,1
SAUD3,202207,202207,0.4703509258305164,20.0,1
NEOE3,202207,202207,0.4840572878717925,21.0,1
EGIE3,202207,202207,0.4969103686614163,22.0,1
ENBR3,202207,202207,0.506216035092253,23.0,1
CPFE3,202207,202207,0.5281144677246677,24.0,1
ALUP11,202207,202207,0.5299708072821943,25.0,1
RANI3,202207,202207,0.5725653545919488,26.0,1
SAPR11,202207,202207,0.5739498623564381,27.0,1
VULC3,202207,202207,0.575123180654313,28.0,1
PSSA3,202207,202207,0.5910521172863887,29.0,1
RADL3,202207,202207,0.5960010894997689,30.0,1
PCAR3,202207,202207,0.6032560318450512,31.0,1
BBSE3,202207,202207,0.6117991721142862,32.0,1
AXIA3,202207,202207,0.6150508529381855,33.0,1
DXCO3,202207,202207,0.6159129936205116,34.0,1
RAIL3,202207,202207,0.6161697289190963,35.0,1
AESB3,202207,202207,0.6173194165079245,36.0,1
AGRO3,202207,202207,0.6211766745026072,37.0,1
SHUL4,202207,202207,0.6246264737859614,38.0,1
TOTS3,202207,202207,0.6298144494801362,39.0,1
SYNE3,202207,202207,0.6454045399261739,40.0,1
LEVE3,202207,202207,0.6683101966418221,41.0,1
KEPL3,202207,202207,0.6787985579256584,42.0,1
ISAE4,202207,202207,0.6817211167535471,43.0,1
ENEV3,202207,202207,0.6903829366227504,44.0,1
BRPR3,202207,202207,0.6925299551000169,45.0,1
TIMS3,202207,202207,0.6975768279966692,46.0,1
EMBJ3,202207,202207,0.7038128452093686,47.0,1
QUAL3,202207,202207,0.7048798317266963,48.0,1
ABEV3,202207,202207,0.719820755639871,49.0,1
ENGI11,202207,202207,0.7474533490638171,50.0,1
ALPA4,202207,202207,0.7499704955309157,51.0,2
CSMG3,202207,202207,0.75633672273192,52.0,2
TAEE11,202207,202207,0.7661159575305065,53.0,2
LOGN3,202207,202207,0.7676032445991574,54.0,2
SMTO3,202207,202207,0.7788221356973122,55.0,2
GGBR4,202207,202207,0.7871336823037564,56.0,2
EQTL3,202207,202207,0.7952157090254808,57.0,2
GOAU4,202207,202207,0.8064205563130178,58.0,2
POMO4,202207,202207,0.8175021127068491,59.0,2
AZZA3,202207,202207,0.8270520833910332,60.0,2
DIRR3,202207,202207,0.8308257437880966,61.0,2
LCAM3,202207,202207,0.8335710039524092,62.0,2
HYPE3,202207,202207,0.8577991356070875,63.0,2
RAPT4,202207,202207,0.8578529811216966,64.0,2
CPLE6,202207,202207,0.864044001102261,65.0,2
GRND3,202207,202207,0.8925814047673798,66.0,2
APER3,202207,202207,0.8939421893800622,67.0,2
PFRM3,202207,202207,0.8973851381666416,68.0,2
TEND3,202207,202207,0.902227076687884,69.0,2
CRFB3,202207,202207,0.907406134794808,70.0,2
FRAS3,202207,202207,0.9110624794995964,71.0,2
PORT3,202207,202207,0.9166045347432232,72.0,2
MOVI3,202207,202207,0.9237639296961568,73.0,2
PRNR3,202207,202207,0.9297808473431372,74.0,2
RENT3,202207,202207,0.9302939647062805,75.0,2
VBBR3,202207,202207,0.9316610401821596,76.0,2
PARD3,202207,202207,0.932404354584262,77.0,2
PNVL3,202207,202207,0.9663623014872662,78.0,2
IRBR3,202207,202207,0.9783351717289482,79.0,2
PTBL3,202207,202207,0.9848582403611162,80.0,2
TECN3,202207,202207,0.9937107494041612,81.0,2
LOGG3,202207,202207,1.004411981055639,82.0,2
MOTV3,202207,202207,1.0114431655994394,83.0,2
BRML3,202207,202207,1.014594858876263,84.0,2
MULT3,202207,202207,1.0186216355549982,85.0,2
AMER3,202207,202207,1.0201961769915897,86.0,2
USIM5,202207,202207,1.0296953445079755,87.0,2
WIZC3,202207,202207,1.0440008060176988,88.0,2
IGTI3,202207,202207,1.0457434948044382,89.0,2
UGPA3,202207,202207,1.0650683601024198,90.0,2
