ticker,data,ano_mes_carteira,illiquidity,indicator_rank,tercile
NEOE3,202505,202505,0.0050610011102573,99.0,2
YDUQ3,202505,202505,0.0049185092021268,100.0,2
RAIZ4,202505,202505,0.0043767306531279,101.0,2
BRKM5,202505,202505,0.0043029342961977,102.0,2
COGN3,202505,202505,0.0041597017282942,103.0,2
SMTO3,202505,202505,0.0040842810788692,104.0,2
SAPR11,202505,202505,0.0040741171919268,105.0,2
BEEF3,202505,202505,0.0038381041176528,106.0,2
RECV3,202505,202505,0.0037415056008455,107.0,2
CMIN3,202505,202505,0.0036758927480975,108.0,2
CURY3,202505,202505,0.0036106161840572,109.0,2
CSMG3,202505,202505,0.0034489941752799,110.0,2
IRBR3,202505,202505,0.0034359954483239,111.0,2
GGPS3,202505,202505,0.0034230610280669,112.0,2
ALUP11,202505,202505,0.0034019271229105,113.0,2
SMFT3,202505,202505,0.0029017538744523,114.0,2
MRVE3,202505,202505,0.0028174695071528,115.0,2
FLRY3,202505,202505,0.0027826989503987,116.0,2
POMO4,202505,202505,0.0026475691681022,117.0,3
DIRR3,202505,202505,0.0024969806252656,118.0,3
AZZA3,202505,202505,0.0023702341590481,119.0,3
SLCE3,202505,202505,0.0023125836288918,120.0,3
CRFB3,202505,202505,0.0022700195471544,121.0,3
VIVA3,202505,202505,0.002249455255793,122.0,3
IGTI11,202505,202505,0.0022080606062739,123.0,3
USIM5,202505,202505,0.0021887480712355,124.0,3
MBRF3,202505,202505,0.0020544882378224,125.0,3
AURE3,202505,202505,0.0020368600306537,126.0,3
CXSE3,202505,202505,0.002024798927158,127.0,3
CSNA3,202505,202505,0.0017646618743797,128.0,3
NATU3,202505,202505,0.0014889375390829,129.0,3
CPFE3,202505,202505,0.0014726763366285,130.0,3
GOAU4,202505,202505,0.0014464049132539,131.0,3
EGIE3,202505,202505,0.0014218160911382,132.0,3
HYPE3,202505,202505,0.0014116348719608,133.0,3
UGPA3,202505,202505,0.0013646387274291,134.0,3
TOTS3,202505,202505,0.001355125205345,135.0,3
PSSA3,202505,202505,0.0013397251976794,136.0,3
STBP3,202505,202505,0.0013277401044417,137.0,3
BRAV3,202505,202505,0.0013017939468923,138.0,3
ISAE4,202505,202505,0.0012624790389814,139.0,3
ENEV3,202505,202505,0.0012460853272945,140.0,3
CYRE3,202505,202505,0.0012364449516093,141.0,3
MGLU3,202505,202505,0.0012060576932808,142.0,3
MOTV3,202505,202505,0.0011589005396731,143.0,3
CSAN3,202505,202505,0.0011379964049608,144.0,3
TAEE11,202505,202505,0.0011205790905672,145.0,3
MULT3,202505,202505,0.0011182672084297,146.0,3
ALOS3,202505,202505,0.0010921182575209,147.0,3
ENGI11,202505,202505,0.000964918411552,148.0,3
HAPV3,202505,202505,0.0009645564737462,149.0,3
BRFS3,202505,202505,0.0009566328432029,150.0,3
VIVT3,202505,202505,0.0009207218057254,151.0,3
KLBN11,202505,202505,0.0008438429888272,152.0,3
RDOR3,202505,202505,0.0008026284344367,153.0,3
LREN3,202505,202505,0.0007969168374843,154.0,3
VBBR3,202505,202505,0.0007421426658123,155.0,3
CMIG4,202505,202505,0.0007274689788981,156.0,3
RADL3,202505,202505,0.0007258072564841,157.0,3
CPLE6,202505,202505,0.0006533175800058,158.0,3
GGBR4,202505,202505,0.0005633953577986,159.0,3
RAIL3,202505,202505,0.0005449258014758,160.0,3
JBSS3,202505,202505,0.0005420908340189,161.0,3
EMBJ3,202505,202505,0.000538460723337,162.0,3
RENT3,202505,202505,0.0004717797069439,163.0,3
BBSE3,202505,202505,0.0004487206657696,164.0,3
EQTL3,202505,202505,0.0004212507688267,165.0,3
PRIO3,202505,202505,0.0003559951979963,166.0,3
AXIA3,202505,202505,0.0003370797142597,167.0,3
ITSA4,202505,202505,0.0003360639022782,168.0,3
SBSP3,202505,202505,0.0003197003438997,169.0,3
WEGE3,202505,202505,0.0003151949834783,170.0,3
B3SA3,202505,202505,0.0002777516505368,171.0,3
SUZB3,202505,202505,0.0002546878339925,172.0,3
ABEV3,202505,202505,0.0002196158587399,173.0,3
VALE3,202505,202505,7.319612899202699e-05,174.0,3
PETR4,202505,202505,7.073929954695614e-05,175.0,3
ENJU3,202506,202506,0.2264151121979197,1.0,1
HBOR3,202506,202506,0.1917297094273939,2.0,1
SEQL3,202506,202506,0.1882560301713136,3.0,1
CSUD3,202506,202506,0.1764615597106529,4.0,1
ETER3,202506,202506,0.1734235339850514,5.0,1
AERI3,202506,202506,0.1641046833438831,6.0,1
HBRE3,202506,202506,0.1507288064765297,7.0,1
PFRM3,202506,202506,0.135859380317322,8.0,1
PTBL3,202506,202506,0.1349593438790845,9.0,1
CSED3,202506,202506,0.1326385777520576,10.0,1
ZAMP3,202506,202506,0.1265816138766079,11.0,1
VITT3,202506,202506,0.1190520734129475,12.0,1
MELK3,202506,202506,0.1132576283390323,13.0,1
DASA3,202506,202506,0.1113473195490638,14.0,1
MATD3,202506,202506,0.1080084898596374,15.0,1
MLAS3,202506,202506,0.0967272997405082,16.0,1
SEER3,202506,202506,0.0886585010852392,17.0,1
PGMN3,202506,202506,0.0868194577300553,18.0,1
VVEO3,202506,202506,0.0838640411784948,19.0,1
DESK3,202506,202506,0.0828629937333126,20.0,1
MTRE3,202506,202506,0.0825537317807356,21.0,1
FIQE3,202506,202506,0.0825423620805969,22.0,1
ROMI3,202506,202506,0.0822684552975246,23.0,1
LIGT3,202506,202506,0.0801176867154016,24.0,1
AZEV4,202506,202506,0.0766952766861082,25.0,1
ELMD3,202506,202506,0.0731795868461681,26.0,1
BLAU3,202506,202506,0.0697885189350191,27.0,1
JSLG3,202506,202506,0.0695668475815693,28.0,1
OPCT3,202506,202506,0.0607299972688531,29.0,1
TFCO4,202506,202506,0.0592633333805768,30.0,1
TRIS3,202506,202506,0.0547594118894742,31.0,1
WIZC3,202506,202506,0.0537981408232705,32.0,1
TASA4,202506,202506,0.05357064785333,33.0,1
SHUL4,202506,202506,0.0520164205838737,34.0,1
ARML3,202506,202506,0.0513324660055128,35.0,1
SYNE3,202506,202506,0.0492376679461841,36.0,1
CASH3,202506,202506,0.0490842349770089,37.0,1
JALL3,202506,202506,0.0471628180733993,38.0,1
GFSA3,202506,202506,0.0431953563635433,39.0,1
PNVL3,202506,202506,0.0413383911006444,40.0,1
QUAL3,202506,202506,0.040753688785878,41.0,1
PRNR3,202506,202506,0.0401486609556678,42.0,1
BMOB3,202506,202506,0.0384422944423366,43.0,1
AURA33,202506,202506,0.0327763516464688,44.0,1
FESA4,202506,202506,0.0320883423205161,45.0,1
CAML3,202506,202506,0.0304507086678406,46.0,1
POSI3,202506,202506,0.029882752964146,47.0,1
RIAA3,202506,202506,0.029369270573348,48.0,1
EVEN3,202506,202506,0.0281496906882038,49.0,1
LJQQ3,202506,202506,0.0267428571892709,50.0,1
LAVV3,202506,202506,0.024706344065127,51.0,1
MDNE3,202506,202506,0.0244766927743734,52.0,1
LOGG3,202506,202506,0.0244665944175807,53.0,1
SOJA3,202506,202506,0.0226267610019174,54.0,1
RANI3,202506,202506,0.0220545023862313,55.0,1
HBSA3,202506,202506,0.0216237969353905,56.0,1
VLID3,202506,202506,0.020336718874754,57.0,1
PLPL3,202506,202506,0.0199014531212159,58.0,1
AGRO3,202506,202506,0.0193387585835868,59.0,2
TGMA3,202506,202506,0.0189499968973449,60.0,2
GRND3,202506,202506,0.0188394069208078,61.0,2
BHIA3,202506,202506,0.0179496659282005,62.0,2
ONCO3,202506,202506,0.0172379887400343,63.0,2
MILS3,202506,202506,0.016274055668161,64.0,2
UNIP6,202506,202506,0.0158153314943736,65.0,2
AMBP3,202506,202506,0.0156383498685216,66.0,2
KEPL3,202506,202506,0.0143011736340416,67.0,2
FRAS3,202506,202506,0.0141698702787091,68.0,2
ANIM3,202506,202506,0.0131697069950303,69.0,2
MYPK3,202506,202506,0.0123131191941452,70.0,2
SIMH3,202506,202506,0.0122868137825696,71.0,2
SAUD3,202506,202506,0.0117932468611988,72.0,2
TTEN3,202506,202506,0.0110747744700472,73.0,2
VULC3,202506,202506,0.0109897785504216,74.0,2
JHSF3,202506,202506,0.0107341685115576,75.0,2
CBAV3,202506,202506,0.0104247761727046,76.0,2
LEVE3,202506,202506,0.0099156280088872,77.0,2
SBFG3,202506,202506,0.0097105621555971,78.0,2
TUPY3,202506,202506,0.0094766975557989,79.0,2
MOVI3,202506,202506,0.0093860570319401,80.0,2
DXCO3,202506,202506,0.0088983180801757,81.0,2
ECOR3,202506,202506,0.0088633003026683,82.0,2
SRNA3,202506,202506,0.0087320116258786,83.0,2
ALPA4,202506,202506,0.0085501257048575,84.0,2
MDIA3,202506,202506,0.0084465318633082,85.0,2
LWSA3,202506,202506,0.0079762734118938,86.0,2
CVCB3,202506,202506,0.0076288028313739,87.0,2
PCAR3,202506,202506,0.0073136677204333,88.0,2
CEAB3,202506,202506,0.0072149668672961,89.0,2
AUAU3,202506,202506,0.0068417857861427,90.0,2
PORT3,202506,202506,0.0066725918374327,91.0,2
INTB3,202506,202506,0.0065876738911045,92.0,2
RAPT4,202506,202506,0.0062836624664664,93.0,2
EZTC3,202506,202506,0.0062507758566355,94.0,2
ORVR3,202506,202506,0.0059690732359818,95.0,2
TEND3,202506,202506,0.0055476583285825,96.0,2
GMAT3,202506,202506,0.0054496970455848,97.0,2
VAMO3,202506,202506,0.0053264896732799,98.0,2
NEOE3,202506,202506,0.0050623816075019,99.0,2
YDUQ3,202506,202506,0.0049606644245286,100.0,2
BRKM5,202506,202506,0.0046673992099802,101.0,2
RAIZ4,202506,202506,0.0046137783571285,102.0,2
SMTO3,202506,202506,0.0042360997485739,103.0,2
COGN3,202506,202506,0.0040575886604788,104.0,2
SAPR11,202506,202506,0.0040428472743122,105.0,2
RECV3,202506,202506,0.003898949369908,106.0,2
