ticker,data,ano_mes_carteira,returns,indicator_rank,tercile
HGTX3,201109,201109,0.389435453791739,5.0,1
LIGT3,201109,201109,0.3703753743682252,6.0,1
SAUD3,201109,201109,0.368828771491011,7.0,1
FFTL4,201109,201109,0.3503697749178314,8.0,1
EZTC3,201109,201109,0.3486126160426712,9.0,1
CSMG3,201109,201109,0.3372551363211609,10.0,1
VIVT4,201109,201109,0.3331784503820942,11.0,1
EQTL3,201109,201109,0.2960470984100758,12.0,1
BRML3,201109,201109,0.2900990284098832,13.0,1
TIMS3,201109,201109,0.2841092786891843,14.0,1
OIBR4,201109,201109,0.2626573589447885,15.0,1
SMTO3,201109,201109,0.2626272076059726,16.0,1
ARTR3,201109,201109,0.2354788013711248,17.0,1
CIEL3,201109,201109,0.222536956618554,18.0,1
VLID3,201109,201109,0.2084115609996686,19.0,1
CMIG4,201109,201109,0.1963936993779669,20.0,1
POMO4,201109,201109,0.1870036637779835,21.0,1
BRFS3,201109,201109,0.1704603872701215,22.0,1
CPFE3,201109,201109,0.1644139061470673,23.0,1
AMBV4,201109,201109,0.1589240912649234,24.0,1
KLBN4,201109,201109,0.1586003743329627,25.0,1
CRUZ3,201109,201109,0.1574713894088788,26.0,1
ABEV3,201109,201109,0.1550432649406694,27.0,1
GETI4,201109,201109,0.1536127927433364,28.0,1
PCAR4,201109,201109,0.1499910007545815,29.0,1
ENBR3,201109,201109,0.1229220969283491,30.0,1
BRKM5,201109,201109,0.110850515732549,31.0,1
AMIL3,201109,201109,0.0944526731296326,32.0,1
TOTS3,201109,201109,0.0875501793689825,33.0,1
MOTV3,201109,201109,0.074784891398355,34.0,1
EGIE3,201109,201109,0.0732499958040102,35.0,2
RDCD3,201109,201109,0.0613058500363823,36.0,2
TMAR5,201109,201109,0.0332905012069182,37.0,2
PSSA3,201109,201109,0.0310979236859496,38.0,2
CPLE6,201109,201109,0.0219020514080328,39.0,2
BRAP4,201109,201109,0.0208410363682756,40.0,2
VALE5,201109,201109,0.0161663697628262,41.0,2
ISAE4,201109,201109,0.0092121129013742,42.0,2
SULA11,201109,201109,0.0062642352229658,43.0,2
LREN3,201109,201109,0.0008252399513415,44.0,2
MYPK3,201109,201109,-0.014144265125378,45.0,2
EMBJ3,201109,201109,-0.0226701065757795,46.0,2
NEXP3,201109,201109,-0.0330509323725793,47.0,2
MULT3,201109,201109,-0.0500661764368218,48.0,2
DASA3,201109,201109,-0.0507493311915487,49.0,2
CSAN3,201109,201109,-0.0533015115345063,50.0,2
RAPT4,201109,201109,-0.0598381410115932,51.0,2
LAME4,201109,201109,-0.0619922985778106,52.0,2
AMAR3,201109,201109,-0.0667751556065113,53.0,2
PMAM3,201109,201109,-0.0697520797657875,54.0,2
WEGE3,201109,201109,-0.0705351776121002,55.0,2
SLCE3,201109,201109,-0.0709272326560549,56.0,2
INEP4,201109,201109,-0.0759874992530343,57.0,2
TNLP4,201109,201109,-0.0848443313745366,58.0,2
IGTA3,201109,201109,-0.0922885280980513,59.0,2
AXIA3,201109,201109,-0.0934814628258496,60.0,2
RENT3,201109,201109,-0.1035880582291287,61.0,2
PETR4,201109,201109,-0.1110630122185647,62.0,2
MBRF3,201109,201109,-0.1117943860144971,63.0,2
EVEN3,201109,201109,-0.1131006943507444,64.0,2
FESA4,201109,201109,-0.1546201054287335,65.0,2
PDGR3,201109,201109,-0.1717617945315743,66.0,2
ITSA4,201109,201109,-0.173145222107528,67.0,2
BEEF3,201109,201109,-0.1866483153535485,68.0,2
NATU3,201109,201109,-0.188600074406996,69.0,3
TAMM4,201109,201109,-0.1929303638254574,70.0,3
SLED4,201109,201109,-0.2044162148828128,71.0,3
GPIV33,201109,201109,-0.2202572347266881,72.0,3
BISA3,201109,201109,-0.2265983095276382,73.0,3
DXCO3,201109,201109,-0.2357784664814117,74.0,3
VIVR3,201109,201109,-0.2475884244334555,75.0,3
KEPL3,201109,201109,-0.25,76.0,3
RSID3,201109,201109,-0.2654015866120067,77.0,3
MRVE3,201109,201109,-0.2680190578528028,78.0,3
LAND3,201109,201109,-0.2783505154693683,79.0,3
CNFB4,201109,201109,-0.3077362193062293,80.0,3
B3SA3,201109,201109,-0.333941875834538,81.0,3
SUZB5,201109,201109,-0.3386042209094102,82.0,3
GOAU4,201109,201109,-0.3405371227411886,83.0,3
FIBR3,201109,201109,-0.3507628501220549,84.0,3
CYRE3,201109,201109,-0.3521191769603657,85.0,3
NETC4,201109,201109,-0.3529411764759163,86.0,3
JBSS3,201109,201109,-0.3652530779805427,87.0,3
BICB4,201109,201109,-0.3665143923468682,88.0,3
MMXM3,201109,201109,-0.3671083398364053,89.0,3
GGBR4,201109,201109,-0.3749134089518721,90.0,3
PLAS3,201109,201109,-0.3767705382517311,91.0,3
GFSA3,201109,201109,-0.4112816051009579,92.0,3
OGXP3,201109,201109,-0.4140589569160997,93.0,3
CSNA3,201109,201109,-0.4180460146679844,94.0,3
MAGG3,201109,201109,-0.4547826086971536,95.0,3
USIM5,201109,201109,-0.4944187993327306,96.0,3
LUPA3,201109,201109,-0.4975391498936706,97.0,3
PRML3,201109,201109,-0.5062282412091383,98.0,3
AMER3,201109,201109,-0.5318619836935962,99.0,3
GOLL54,201109,201109,-0.5334706156367977,100.0,3
HYPE3,201109,201109,-0.5439898752520913,101.0,3
POSI3,201109,201109,-0.6337946915613342,102.0,3
JHSF3,201110,201110,0.5478738380105068,1.0,1
TIMS3,201110,201110,0.4225431129127355,2.0,1
ENEV3,201110,201110,0.4191838666652758,3.0,1
VIVT4,201110,201110,0.3633848562296899,4.0,1
EZTC3,201110,201110,0.3629143902425074,5.0,1
LIGT3,201110,201110,0.3620078081808819,6.0,1
BRFS3,201110,201110,0.2890963846561487,7.0,1
HGTX3,201110,201110,0.2786250004225423,8.0,1
COCE5,201110,201110,0.2645620488816629,9.0,1
CSMG3,201110,201110,0.2560329157335035,10.0,1
FFTL4,201110,201110,0.2465611867720487,11.0,1
ABEV3,201110,201110,0.225002262536867,12.0,1
AMBV4,201110,201110,0.2146438761166358,13.0,1
CRUZ3,201110,201110,0.2032580353999276,14.0,1
RDCD3,201110,201110,0.1978470178588143,15.0,1
ELPL4,201110,201110,0.1766792497263207,16.0,1
CIEL3,201110,201110,0.1680635050158314,17.0,1
EQTL3,201110,201110,0.1630240529812017,18.0,1
KLBN4,201110,201110,0.1553382211248057,19.0,1
SAUD3,201110,201110,0.1459770729040281,20.0,1
BRKM5,201110,201110,0.1246370190835381,21.0,1
CPFE3,201110,201110,0.1034617595492723,22.0,1
BRML3,201110,201110,0.1033154601144052,23.0,1
ARTR3,201110,201110,0.0944818924032513,24.0,1
CMIG4,201110,201110,0.0913448120976296,25.0,1
VLID3,201110,201110,0.0867669642036108,26.0,1
ENBR3,201110,201110,0.0859455239780779,27.0,1
MOTV3,201110,201110,0.0849786721672909,28.0,1
SMTO3,201110,201110,0.0795167166945138,29.0,1
GETI4,201110,201110,0.0569119591220448,30.0,1
AMIL3,201110,201110,0.0461557179862999,31.0,1
EGIE3,201110,201110,0.0392252002173547,32.0,1
OIBR4,201110,201110,0.0185180308459183,33.0,1
RENT3,201110,201110,-0.0043281219408545,34.0,1
TMAR5,201110,201110,-0.0195889462453872,35.0,2
PCAR4,201110,201110,-0.0206919461596603,36.0,2
ISAE4,201110,201110,-0.0430122538813085,37.0,2
SULA11,201110,201110,-0.0530829926254928,38.0,2
POMO4,201110,201110,-0.0646945370167638,39.0,2
LREN3,201110,201110,-0.0726593971774197,40.0,2
TOTS3,201110,201110,-0.0739460481892639,41.0,2
CPLE6,201110,201110,-0.0872950450107891,42.0,2
CSAN3,201110,201110,-0.0910696218303981,43.0,2
VALE5,201110,201110,-0.1113168934533724,44.0,2
BEEF3,201110,201110,-0.1149694103637499,45.0,2
LAME4,201110,201110,-0.1247653519998098,46.0,2
MULT3,201110,201110,-0.1260957823101799,47.0,2
AMAR3,201110,201110,-0.1269741887475419,48.0,2
IGTA3,201110,201110,-0.1350022197135072,49.0,2
EMBJ3,201110,201110,-0.141258011592412,50.0,2
BRAP4,201110,201110,-0.1597191452409142,51.0,2
PETR4,201110,201110,-0.162134175089226,52.0,2
NEXP3,201110,201110,-0.1624096858115091,53.0,2
MRVE3,201110,201110,-0.174828566408,54.0,2
TAMM4,201110,201110,-0.1749643032836396,55.0,2
CNFB4,201110,201110,-0.1776266114574018,56.0,2
NATU3,201110,201110,-0.180193854491567,57.0,2
TNLP4,201110,201110,-0.1858366144852283,58.0,2
PSSA3,201110,201110,-0.1907943494946422,59.0,2
WEGE3,201110,201110,-0.1982366173759765,60.0,2
FESA4,201110,201110,-0.2015462489177439,61.0,2
DASA3,201110,201110,-0.2119986656424389,62.0,2
BISA3,201110,201110,-0.2207592083388017,63.0,2
MYPK3,201110,201110,-0.22661742335656,64.0,2
RAPT4,201110,201110,-0.2477185012343116,65.0,2
PMAM3,201110,201110,-0.2488364299754326,66.0,2
PDGR3,201110,201110,-0.2507776396686605,67.0,2
RSID3,201110,201110,-0.2519615721839853,68.0,2
EVEN3,201110,201110,-0.2621654267247629,69.0,3
ITSA4,201110,201110,-0.2654485133059685,70.0,3
SLED4,201110,201110,-0.2691629424809766,71.0,3
AXIA3,201110,201110,-0.2735134031815402,72.0,3
SLCE3,201110,201110,-0.275660595064376,73.0,3
KEPL3,201110,201110,-0.2972972973052903,74.0,3
VIVR3,201110,201110,-0.3030303030318134,75.0,3
B3SA3,201110,201110,-0.3100575292112616,76.0,3
GOAU4,201110,201110,-0.3283225921353752,77.0,3
NETC4,201110,201110,-0.3312937063234558,78.0,3
DXCO3,201110,201110,-0.3315000191327798,79.0,3
CYRE3,201110,201110,-0.3444913415128308,80.0,3
JBSS3,201110,201110,-0.3470948012276323,81.0,3
INEP4,201110,201110,-0.3666060651062802,82.0,3
GGBR4,201110,201110,-0.3700994384638246,83.0,3
GPIV33,201110,201110,-0.3763888888888889,84.0,3
PLAS3,201110,201110,-0.4020887728765228,85.0,3
MMXM3,201110,201110,-0.4059985369701837,86.0,3
CSNA3,201110,201110,-0.4099880237689014,87.0,3
BICB4,201110,201110,-0.4163267136215984,88.0,3
LAND3,201110,201110,-0.4245283018785193,89.0,3
USIM5,201110,201110,-0.4248073986278864,90.0,3
SUZB5,201110,201110,-0.4277837250320012,91.0,3
MAGG3,201110,201110,-0.4509450945134274,92.0,3
GFSA3,201110,201110,-0.4594813579079357,93.0,3
FIBR3,201110,201110,-0.4760854255588904,94.0,3
AMER3,201110,201110,-0.4774060656441574,95.0,3
OGXP3,201110,201110,-0.4861111111111111,96.0,3
MBRF3,201110,201110,-0.4962939215490094,97.0,3
HYPE3,201110,201110,-0.5208333160671648,98.0,3
PRML3,201110,201110,-0.5406891951095985,99.0,3
LUPA3,201110,201110,-0.5409836065550626,100.0,3
GOLL54,201110,201110,-0.5861399551375873,101.0,3
POSI3,201110,201110,-0.6268346491594459,102.0,3
ENEV3,201111,201111,0.4478999409178925,1.0,1
VIVT4,201111,201111,0.3670986735327652,2.0,1
FFTL4,201111,201111,0.3309631748349175,3.0,1
JHSF3,201111,201111,0.3265910200880211,4.0,1
COCE5,201111,201111,0.3165676835913282,5.0,1
TIMS3,201111,201111,0.2917169973214144,6.0,1
BRFS3,201111,201111,0.2893113233540636,7.0,1
AMBV4,201111,201111,0.2777298981126879,8.0,1
RDCD3,201111,201111,0.2320274673974158,9.0,1
CIEL3,201111,201111,0.2031191823416707,10.0,1
ABEV3,201111,201111,0.2022931734435993,11.0,1
LIGT3,201111,201111,0.1984516238836673,12.0,1
CRUZ3,201111,201111,0.163067471131922,13.0,1
CSMG3,201111,201111,0.1502870570689356,14.0,1
BRML3,201111,201111,0.1481413861650018,15.0,1
ELPL4,201111,201111,0.1412959979771622,16.0,1
SAUD3,201111,201111,0.1150414285565524,17.0,1
EQTL3,201111,201111,0.1083540116049028,18.0,1
CPFE3,201111,201111,0.1023308041761308,19.0,1
ENBR3,201111,201111,0.0997690640046828,20.0,1
VLID3,201111,201111,0.0992538256657429,21.0,1
KLBN4,201111,201111,0.0924035781128267,22.0,1
MOTV3,201111,201111,0.0889284983166673,23.0,1
CMIG4,201111,201111,0.0776972580250852,24.0,1
GETI4,201111,201111,0.0733994320293318,25.0,1
HGTX3,201111,201111,0.0625965381416728,26.0,1
ARTR3,201111,201111,0.0479927870099317,27.0,1
EGIE3,201111,201111,0.0122250406456425,28.0,1
POMO4,201111,201111,0.0109907944255511,29.0,1
AMIL3,201111,201111,0.0060307904528769,30.0,1
EMBJ3,201111,201111,-0.0158094669376466,31.0,1
ISAE4,201111,201111,-0.0163609241757981,32.0,1
OIBR4,201111,201111,-0.0198553657850181,33.0,1
EZTC3,201111,201111,-0.0231110458506205,34.0,1
TOTS3,201111,201111,-0.0451123959102418,35.0,2
MULT3,201111,201111,-0.0663971283116238,36.0,2
CSAN3,201111,201111,-0.0675710822281698,37.0,2
LAME4,201111,201111,-0.0974140745505357,38.0,2
RENT3,201111,201111,-0.1046450251232217,39.0,2
LREN3,201111,201111,-0.1187930094635428,40.0,2
SMTO3,201111,201111,-0.1340213694543861,41.0,2
AMAR3,201111,201111,-0.1415625800708966,42.0,2
CNFB4,201111,201111,-0.1467720371828695,43.0,2
VALE5,201111,201111,-0.146827553618163,44.0,2
WEGE3,201111,201111,-0.1482321599568145,45.0,2
SLCE3,201111,201111,-0.1591579338513316,46.0,2
PMAM3,201111,201111,-0.1614462651457449,47.0,2
TMAR5,201111,201111,-0.164117051403082,48.0,2
SULA11,201111,201111,-0.1656126306527092,49.0,2
BRKM5,201111,201111,-0.1681943304211736,50.0,2
CPLE6,201111,201111,-0.1683972402666309,51.0,2
PCAR4,201111,201111,-0.190663804025289,52.0,2
PETR4,201111,201111,-0.1954645428678945,53.0,2
BRAP4,201111,201111,-0.2011159308595002,54.0,2
MYPK3,201111,201111,-0.2181469122310438,55.0,2
TNLP4,201111,201111,-0.2324688220901501,56.0,2
ITSA4,201111,201111,-0.2382863920469092,57.0,2
BEEF3,201111,201111,-0.2386128276033033,58.0,2
RAPT4,201111,201111,-0.2414889493682444,59.0,2
AXIA3,201111,201111,-0.2487553046700327,60.0,2
IGTA3,201111,201111,-0.2532168340579718,61.0,2
TAMM4,201111,201111,-0.2594827932544609,62.0,2
GOAU4,201111,201111,-0.2666539213584759,63.0,2
DASA3,201111,201111,-0.2688505994041229,64.0,2
NATU3,201111,201111,-0.2726813118092392,65.0,2
KEPL3,201111,201111,-0.2857142857338939,66.0,2
FESA4,201111,201111,-0.2865621210692696,67.0,2
B3SA3,201111,201111,-0.2965701287928247,68.0,2
BISA3,201111,201111,-0.3009643925126163,69.0,3
GGBR4,201111,201111,-0.3063255693850378,70.0,3
PSSA3,201111,201111,-0.3102773987795189,71.0,3
VIVR3,201111,201111,-0.3119266055074483,72.0,3
NETC4,201111,201111,-0.3293859649269327,73.0,3
NEXP3,201111,201111,-0.3567195294760269,74.0,3
SLED4,201111,201111,-0.3703490751011522,75.0,3
EVEN3,201111,201111,-0.3846150136488916,76.0,3
PDGR3,201111,201111,-0.399612848755681,77.0,3
PLAS3,201111,201111,-0.402777777812846,78.0,3
INEP4,201111,201111,-0.4031480228886102,79.0,3
GPIV33,201111,201111,-0.403183023872679,80.0,3
CSNA3,201111,201111,-0.4036493759668659,81.0,3
RSID3,201111,201111,-0.4080010202637953,82.0,3
MRVE3,201111,201111,-0.4192301543879254,83.0,3
BICB4,201111,201111,-0.4220506296216103,84.0,3
OGXP3,201111,201111,-0.4221105527638191,85.0,3
MMXM3,201111,201111,-0.4221311475764649,86.0,3
LAND3,201111,201111,-0.4242424242497828,87.0,3
SUZB5,201111,201111,-0.4256002404949186,88.0,3
USIM5,201111,201111,-0.4275254656226972,89.0,3
MAGG3,201111,201111,-0.4281663516132828,90.0,3
JBSS3,201111,201111,-0.4458015267170707,91.0,3
CYRE3,201111,201111,-0.4491235378195041,92.0,3
FIBR3,201111,201111,-0.4498470060451115,93.0,3
DXCO3,201111,201111,-0.4615729807962875,94.0,3
POSI3,201111,201111,-0.492046739176629,95.0,3
AMER3,201111,201111,-0.5119467463990157,96.0,3
MBRF3,201111,201111,-0.5267864734273432,97.0,3
GFSA3,201111,201111,-0.5389046991836948,98.0,3
