ano,empresa,ticker,total_volume_negociado,flag_trading_days,menor_data,pat_liq,market_cap
2016,SEDU,SEDU3,1680740.5580000002,1.0,1.0,1598924.0,3296663.0606
2016,SEER,SEER3,1655923.63,1.0,1.0,748325.0,1800566.4487
2016,SLCE,SLCE3,733488.9550000001,1.0,1.0,2234627.0,1678689.9127
2016,SMLS,SMLS3,10070472.193,1.0,1.0,364878.0,6484572.8951
2016,SMTO,SMTO3,2024175.9100000001,1.0,1.0,2716802.0,4237224.5625
2016,SULA,SULA11,4108065.175,1.0,1.0,4132982.0,5074703.5944
2016,SUZB,SUZB5,22103932.542,1.0,1.0,9860170.0,18002102.92
2016,TAEE,TAEE11,3787183.9570000004,1.0,1.0,4412329.0,7089789.42
2016,TCSA,TCSA3,947968.7110000001,1.0,1.0,1557638.0,577841.88
2016,TIMS,TIMS3,8266597.010000001,1.0,1.0,16563231.0,24783222.692
2016,TOTS,TOTS3,5163600.267,1.0,1.0,1183137.0,6348169.425
2016,TUPY,TUPY3,978798.167,1.0,1.0,2239060.0,2321265.8
2016,UGPA,UGPA3,24722948.716,1.0,1.0,8079288.0,35900959.518
2016,USIM,USIM5,8394088.022,1.0,1.0,15811445.0,8663722.92
2016,VALE,VALE5,82133174.823,1.0,1.0,151406715.0,88922702.13
2016,VIVT,VIVT4,21172587.529,1.0,1.0,67118227.0,69824548.4
2016,VLID,VLID3,3843303.2219999996,1.0,1.0,643508.0,2666066.1
2016,VVAR,VVAR11,2432733.1279999996,1.0,1.0,4518000.0,6888815.66
2016,WEGE,WEGE3,6757718.884,1.0,1.0,5428191.0,30733703.023
2016,WIZC,WIZC3,898194.5349999999,1.0,6.0,85357.0,2168338.92
2016,YDUQ,YDUQ3,11489023.337000001,1.0,1.0,2573978.0,5558004.0
2017,ABEV,ABEV3,61472589.563,1.0,1.0,44301007.0,299056215.45
2017,AESB,AESB3,4441736.49,1.0,1.0,1678351.0,5759304.36
2017,ALPA,ALPA4,1336044.139,1.0,1.0,1897753.0,4802471.31
2017,ALSC,ALSC3,1522113.3120000002,1.0,1.0,1820386.0,2284455.5061
2017,ALUP,ALUP11,1345938.534,1.0,1.0,2605324.0,3105761.946
2017,AMER,AMER3,2512017.6399999997,1.0,1.0,3023095.0,2418792.6216
2017,ANIM,ANIM3,581149.404,1.0,1.0,671003.0,1151789.731
2017,AXIA,AXIA3,8009180.361,1.0,1.0,50939407.0,18634713.883
2017,AZZA,AZZA3,921856.521,1.0,1.0,629273.0,2377608.74
2017,B3SA,B3SA3,45300194.372999996,1.0,1.0,18516078.0,32173020.126
2017,BBSE,BBSE3,32862783.858,1.0,1.0,7985981.0,56124610.036
2017,BEEF,BEEF3,2419073.8619999997,1.0,1.0,612033.0,2196977.0764
2017,BRAP,BRAP4,6734813.733000001,1.0,1.0,7773895.0,2882183.88
2017,BRFS,BRFS3,29540209.149,1.0,1.0,12558716.0,36057422.636
2017,BRKM,BRKM5,10215170.297,1.0,1.0,5746062.0,13778294.75
2017,BRML,BRML3,16123660.399,1.0,1.0,9482080.0,7784452.9
2017,BRPR,BRPR3,1574527.2110000001,1.0,1.0,4785810.0,2236710.0
2017,CGAS,CGAS5,950278.9199999999,1.0,1.0,2532806.0,5561114.61
2017,CIEL,CIEL3,42077332.918,1.0,1.0,7895127.0,76475106.724
2017,CMIG,CMIG4,13318406.177000001,1.0,1.0,13794024.0,9084547.98
2017,COGN,COGN3,32113723.955,1.0,1.0,13423460.0,22010321.6
2017,CPFE,CPFE3,9692614.374,1.0,1.0,7802748.0,20958864.62
2017,CPLE,CPLE6,4798054.086999999,1.0,1.0,15371450.0,6664824.7431
2017,CSAN,CSAN3,8837905.501,1.0,1.0,8647429.0,13520256.324
2017,CSMG,CSMG3,2788162.9110000003,1.0,1.0,5778487.0,3532079.2
2017,CSNA,CSNA3,17140920.063,1.0,1.0,6039101.0,10612780.427
2017,CTIP,CTIP3,18169396.783,1.0,1.0,1770236.0,11388121.986
2017,CVCB,CVCB3,3732743.5719999997,1.0,1.0,542492.0,3040486.5513
2017,CYRE,CYRE3,6522018.84,1.0,1.0,6000892.0,3922321.62
2017,CZLT,CZLT33,571309.737,1.0,1.0,6111882.0,5532039.4547
2017,DAGB,DAGB33,1496936.3197599999,1.0,1.0,9561552.0,20704353.67
2017,DIRR,DIRR3,739898.904,1.0,1.0,1697740.0,798814.25988
2017,DXCO,DXCO3,3183500.591,1.0,1.0,4538994.0,5859041.5
2017,ECOR,ECOR3,6188036.64,1.0,1.0,386076.0,4663185.08
2017,EGIE,EGIE3,8350366.603,1.0,1.0,6846738.0,25006553.376
2017,ELPL,ELPL4,2340018.821,1.0,1.0,2167106.0,1414056.8
2017,EMBJ,EMBJ3,12918930.288999999,1.0,1.0,11956508.0,12857932.5
2017,ENAT,ENAT3,1066758.1060000001,1.0,1.0,2661399.0,1175806.3649
2017,ENBR,ENBR3,7549151.437999999,1.0,1.0,7690339.0,6478121.46
2017,EQTL,EQTL3,13555799.973,1.0,1.0,3804796.0,9665585.7945
2017,EVEN,EVEN3,952128.304,1.0,1.0,2167803.0,839177.77536
2017,EZTC,EZTC3,2158585.597,1.0,1.0,2764685.0,2640028.528
2017,FESA,FESA4,354029.303,1.0,1.0,1366259.0,714354.92
2017,FIBR,FIBR3,17246159.483,1.0,1.0,14230970.0,11911398.479
2017,FLRY,FLRY3,3809892.7530000005,1.0,1.0,1736156.0,4298067.29
2017,GFSA,GFSA3,3156288.8779999996,1.0,1.0,2998075.0,745433.3
2017,GGBR,GGBR4,27833063.976999998,1.0,1.0,27503613.0,9200674.435
2017,GOAU,GOAU4,18092304.254,1.0,1.0,9949290.0,1825123.6352
2017,GRND,GRND3,1211860.554,1.0,1.0,2665988.0,4949851.2
2017,HGTX,HGTX3,1941388.0010000002,1.0,1.0,1176026.0,2387429.52
2017,HYPE,HYPE3,18410201.59,1.0,1.0,9067727.0,14756421.499
2017,IGTA,IGTA3,3762857.5299999993,1.0,1.0,2682724.0,4967725.3573
2017,ISAE,ISAE4,6911337.028999999,1.0,1.0,5522229.0,9598619.7486
2017,ITSA,ITSA4,42648908.941,1.0,1.0,46621000.0,55195448.7
2017,JBSS,JBSS3,24729913.976999998,1.0,1.0,23061649.0,27179749.19
2017,KLBN,KLBN11,12869118.314999998,1.0,1.0,7421199.0,17798426.762
2017,LAME,LAME4,9783764.096,1.0,1.0,1710478.0,20174230.184
